round,Name,hole,strokes,par
1,Detry,3,3,5
1,Detry,4,3,3
1,Detry,5,5,4
1,Detry,6,4,4
1,Detry,7,5,4
1,Detry,8,4,3
1,Detry,9,3,4
1,Detry,10,4,4
1,Detry,11,3,3
1,Detry,12,3,4
1,Detry,13,4,4
1,Detry,14,3,3
1,Detry,15,4,4
1,Detry,16,4,5
1,Detry,17,4,4
1,Detry,18,4,4
1,Echavarria,1,3,4
1,Echavarria,2,4,4
1,Echavarria,3,5,5
1,Echavarria,4,3,3
1,Echavarria,5,5,4
1,Echavarria,6,7,4
1,Echavarria,7,4,4
1,Echavarria,8,3,3
1,Echavarria,9,3,4
1,Echavarria,10,4,4
1,Echavarria,11,4,3
1,Echavarria,12,4,4
1,Echavarria,13,4,4
1,Echavarria,14,4,3
1,Echavarria,15,4,4
1,Echavarria,16,4,5
1,Echavarria,17,3,4
1,Echavarria,18,4,4
1,English,1,4,4
1,English,2,4,4
1,English,3,6,5
1,English,4,3,3
1,English,5,4,4
1,English,6,4,4
1,English,7,4,4
1,English,8,3,3
1,English,9,4,4
1,English,10,4,4
1,English,11,3,3
1,English,12,3,4
1,English,13,4,4
1,English,14,5,3
1,English,15,3,4
1,English,16,4,5
1,English,17,4,4
1,English,18,4,4
1,Finau,1,4,4
1,Finau,2,4,4
1,Finau,3,5,5
1,Finau,4,2,3
1,Finau,5,5,4
1,Finau,6,4,4
1,Finau,7,4,4
1,Finau,8,2,3
1,Finau,9,4,4
1,Finau,10,4,4
1,Finau,11,3,3
1,Finau,12,4,4
1,Finau,13,4,4
1,Finau,14,3,3
1,Finau,15,4,4
1,Finau,16,5,5
1,Finau,17,5,4
1,Finau,18,3,4
1,Fitzpatrick,1,3,4
1,Fitzpatrick,2,3,4
1,Fitzpatrick,3,4,5
1,Fitzpatrick,4,3,3
1,Fitzpatrick,5,5,4
1,Fitzpatrick,6,4,4
1,Fitzpatrick,7,3,4
1,Fitzpatrick,8,3,3
1,Fitzpatrick,9,4,4
1,Fitzpatrick,10,4,4
1,Fitzpatrick,11,2,3
1,Fitzpatrick,12,4,4
1,Fitzpatrick,13,4,4
1,Fitzpatrick,14,3,3
1,Fitzpatrick,15,4,4
1,Fitzpatrick,16,5,5
1,Fitzpatrick,17,5,4
1,Fitzpatrick,18,4,4
1,Fleetwood,1,4,4
1,Fleetwood,2,3,4
1,Fleetwood,3,5,5
1,Fleetwood,4,3,3
1,Fleetwood,5,5,4
1,Fleetwood,6,4,4
1,Fleetwood,7,4,4
1,Fleetwood,8,2,3
1,Fleetwood,9,3,4
1,Fleetwood,10,4,4
1,Fleetwood,11,2,3
1,Fleetwood,12,4,4
1,Fleetwood,13,4,4
1,Fleetwood,14,3,3
1,Fleetwood,15,3,4
1,Fleetwood,16,4,5
1,Fleetwood,17,3,4
1,Fleetwood,18,3,4
1,Fowler,1,4,4
1,Fowler,2,3,4
1,Fowler,3,5,5
1,Fowler,4,3,3
1,Fowler,5,4,4
1,Fowler,6,4,4
1,Fowler,7,4,4
1,Fowler,8,3,3
1,Fowler,9,4,4
1,Fowler,10,3,4
1,Fowler,11,2,3
1,Fowler,12,4,4
1,Fowler,13,4,4
1,Fowler,14,3,3
1,Fowler,15,4,4
1,Fowler,16,5,5
1,Fowler,17,3,4
1,Fowler,18,4,4
1,Fox,1,3,4
1,Fox,2,5,4
1,Fox,3,5,5
1,Fox,4,3,3
1,Fox,5,5,4
1,Fox,6,3,4
1,Fox,7,4,4
1,Fox,8,3,3
1,Fox,9,4,4
1,Fox,10,4,4
1,Fox,11,3,3
1,Fox,12,4,4
1,Fox,13,4,4
1,Fox,14,4,3
1,Fox,15,4,4
1,Fox,16,5,5
1,Fox,17,5,4
1,Fox,18,4,4
1,Gerard,1,4,4
1,Gerard,2,4,4
1,Gerard,3,5,5
1,Gerard,4,2,3
1,Gerard,5,5,4
1,Gerard,6,4,4
1,Gerard,7,5,4
1,Gerard,8,2,3
1,Gerard,9,5,4
1,Gerard,10,4,4
1,Gerard,11,3,3
1,Gerard,12,4,4
1,Gerard,13,4,4
1,Gerard,14,3,3
1,Gerard,15,4,4
1,Gerard,16,4,5
1,Gerard,17,4,4
1,Gerard,18,4,4
1,Glover,1,3,4
1,Glover,2,4,4
1,Glover,3,5,5
1,Glover,4,3,3
1,Glover,5,4,4
1,Glover,6,3,4
1,Glover,7,5,4
1,Glover,8,3,3
1,Glover,9,4,4
1,Glover,10,4,4
1,Glover,11,3,3
1,Glover,12,6,4
1,Glover,13,4,4
1,Glover,14,4,3
1,Glover,15,3,4
1,Glover,16,4,5
1,Glover,17,4,4
1,Glover,18,4,4
1,Gotterup,1,4,4
1,Gotterup,2,4,4
1,Gotterup,3,5,5
1,Gotterup,4,3,3
1,Gotterup,5,4,4
1,Gotterup,6,4,4
1,Gotterup,7,5,4
1,Gotterup,8,3,3
1,Gotterup,9,5,4
1,Gotterup,10,3,4
1,Gotterup,11,3,3
1,Gotterup,12,4,4
1,Gotterup,13,4,4
1,Gotterup,14,5,3
1,Gotterup,15,4,4
1,Gotterup,16,4,5
1,Gotterup,17,4,4
1,Gotterup,18,4,4
1,Greyserman,1,3,4
1,Greyserman,2,5,4
1,Greyserman,3,4,5
1,Greyserman,4,3,3
1,Greyserman,5,4,4
1,Greyserman,6,5,4
1,Greyserman,7,4,4
1,Greyserman,8,2,3
1,Greyserman,9,3,4
1,Greyserman,10,4,4
1,Greyserman,11,3,3
1,Greyserman,12,5,4
1,Greyserman,13,5,4
1,Greyserman,14,4,3
1,Greyserman,15,3,4
1,Greyserman,16,4,5
1,Greyserman,17,4,4
1,Greyserman,18,5,4
1,Griffin,1,3,4
1,Griffin,2,4,4
1,Griffin,3,4,5
1,Griffin,4,3,3
1,Griffin,5,5,4
1,Griffin,6,3,4
1,Griffin,7,5,4
1,Griffin,8,3,3
1,Griffin,9,3,4
1,Griffin,10,4,4
1,Griffin,11,3,3
1,Griffin,12,3,4
1,Griffin,13,4,4
1,Griffin,14,3,3
1,Griffin,15,4,4
1,Griffin,16,4,5
1,Griffin,17,4,4
1,Griffin,18,4,4
1,Grillo,1,4,4
1,Grillo,2,3,4
1,Grillo,3,4,5
1,Grillo,4,4,3
1,Grillo,5,5,4
1,Grillo,6,4,4
1,Grillo,7,4,4
1,Grillo,8,3,3
1,Grillo,9,5,4
1,Grillo,10,3,4
1,Grillo,11,3,3
1,Grillo,12,4,4
1,Grillo,13,3,4
1,Grillo,14,3,3
1,Grillo,15,4,4
1,Grillo,16,5,5
1,Grillo,17,4,4
1,Grillo,18,4,4
1,Hall,1,4,4
1,Hall,2,4,4
1,Hall,3,4,5
1,Hall,4,2,3
1,Hall,5,4,4
1,Hall,6,3,4
1,Hall,7,4,4
1,Hall,8,3,3
1,Hall,9,4,4
1,Hall,10,4,4
1,Hall,11,3,3
1,Hall,12,3,4
1,Hall,13,4,4
1,Hall,14,3,3
1,Hall,15,3,4
1,Hall,16,4,5
1,Hall,17,4,4
1,Hall,18,4,4
1,Harman,1,5,4
1,Harman,2,4,4
1,Harman,3,5,5
1,Harman,4,3,3
1,Harman,5,4,4
1,Harman,6,4,4
1,Harman,7,4,4
1,Harman,8,3,3
1,Harman,9,4,4
1,Harman,10,4,4
1,Harman,11,3,3
1,Harman,12,3,4
1,Harman,13,4,4
1,Harman,14,3,3
1,Harman,15,4,4
1,Harman,16,4,5
1,Harman,17,3,4
1,Harman,18,3,4
1,Henley,1,3,4
1,Henley,2,5,4
1,Henley,3,4,5
1,Henley,4,3,3
1,Henley,5,5,4
1,Henley,6,4,4
1,Henley,7,4,4
1,Henley,8,3,3
1,Henley,9,4,4
1,Henley,10,3,4
1,Henley,11,3,3
1,Henley,12,4,4
1,Henley,13,3,4
1,Henley,14,3,3
1,Henley,15,4,4
1,Henley,16,4,5
1,Henley,17,4,4
1,Henley,18,3,4
1,Highsmith,1,4,4
1,Highsmith,2,3,4
1,Highsmith,3,4,5
1,Highsmith,4,3,3
1,Highsmith,5,4,4
1,Highsmith,6,4,4
1,Highsmith,7,5,4
1,Highsmith,8,3,3
1,Highsmith,9,4,4
1,Highsmith,10,5,4
1,Highsmith,11,3,3
1,Highsmith,12,4,4
1,Highsmith,13,4,4
1,Highsmith,14,3,3
1,Highsmith,15,3,4
1,Highsmith,16,5,5
1,Highsmith,17,3,4
1,Highsmith,18,5,4
1,Hoge,1,4,4
1,Hoge,2,5,4
1,Hoge,3,5,5
1,Hoge,4,3,3
1,Hoge,5,5,4
1,Hoge,6,4,4
1,Hoge,7,4,4
1,Hoge,8,3,3
1,Hoge,9,4,4
1,Hoge,10,4,4
1,Hoge,11,4,3
1,Hoge,12,3,4
1,Hoge,13,4,4
1,Hoge,14,3,3
1,Hoge,15,4,4
1,Hoge,16,5,5
1,Hoge,17,4,4
1,Hoge,18,5,4
1,Hovland,1,3,4
1,Hovland,2,4,4
1,Hovland,3,6,5
1,Hovland,4,3,3
1,Hovland,5,4,4
1,Hovland,6,4,4
1,Hovland,7,4,4
1,Hovland,8,3,3
1,Hovland,9,4,4
1,Hovland,10,4,4
1,Hovland,11,3,3
1,Hovland,12,6,4
1,Hovland,13,4,4
1,Hovland,14,5,3
1,Hovland,15,4,4
1,Hovland,16,5,5
1,Hovland,17,3,4
1,Hovland,18,5,4
1,Hughes,1,3,4
1,Hughes,2,3,4
1,Hughes,3,5,5
1,Hughes,4,3,3
1,Hughes,5,5,4
1,Hughes,6,5,4
1,Hughes,7,4,4
1,Hughes,8,3,3
1,Hughes,9,4,4
1,Hughes,10,3,4
1,Hughes,11,3,3
1,Hughes,12,6,4
1,Hughes,13,3,4
1,Hughes,14,4,3
1,Hughes,15,3,4
1,Hughes,16,5,5
1,Hughes,17,4,4
1,Hughes,18,5,4
1,Im,1,4,4
1,Im,2,3,4
1,Im,3,6,5
1,Im,4,5,3
1,Im,5,5,4
1,Im,6,3,4
1,Im,7,4,4
1,Im,8,2,3
1,Im,9,4,4
1,Im,10,4,4
1,Im,11,3,3
1,Im,12,4,4
1,Im,13,4,4
1,Im,14,3,3
1,Im,15,4,4
1,Im,16,5,5
1,Im,17,4,4
1,Im,18,4,4
1,Jaeger,1,3,4
1,Jaeger,2,4,4
1,Jaeger,3,5,5
1,Jaeger,4,3,3
1,Jaeger,5,4,4
1,Jaeger,6,4,4
1,Jaeger,7,4,4
1,Jaeger,8,3,3
1,Jaeger,9,4,4
1,Jaeger,10,5,4
1,Jaeger,11,3,3
1,Jaeger,12,5,4
1,Jaeger,13,3,4
1,Jaeger,14,5,3
1,Jaeger,15,3,4
1,Jaeger,16,5,5
1,Jaeger,17,4,4
1,Jaeger,18,5,4
1,"Kim, M.",1,3,4
1,"Kim, M.",2,4,4
1,"Kim, M.",3,4,5
1,"Kim, M.",4,3,3
1,"Kim, M.",5,5,4
1,"Kim, M.",6,4,4
1,"Kim, M.",7,4,4
1,"Kim, M.",8,3,3
1,"Kim, M.",9,4,4
1,"Kim, M.",10,4,4
1,"Kim, M.",11,2,3
1,"Kim, M.",12,4,4
1,"Kim, M.",13,3,4
1,"Kim, M.",14,5,3
1,"Kim, M.",15,4,4
1,"Kim, M.",16,5,5
1,"Kim, M.",17,5,4
1,"Kim, M.",18,6,4
1,"Kim, S.W.",1,4,4
1,"Kim, S.W.",2,4,4
1,"Kim, S.W.",3,5,5
1,"Kim, S.W.",4,3,3
1,"Kim, S.W.",5,4,4
1,"Kim, S.W.",6,4,4
1,"Kim, S.W.",7,5,4
1,"Kim, S.W.",8,2,3
1,"Kim, S.W.",9,4,4
1,"Kim, S.W.",10,3,4
1,"Kim, S.W.",11,3,3
1,"Kim, S.W.",12,4,4
1,"Kim, S.W.",13,3,4
